id#client_id#other_names
1#1#1-ый дск;первый домостроительный комбинат;первый дск
2#2#aeon;aeon development;аеон девелопмент;корпорация aeon;aeon corporation;geopro mining;geopromining;геопромайнинг
3#3#aliexpress russia;aliexpress;алиэкспресс
4#4#azimut
5#5#balchug capital;балчуг;balchug
6#6#bbk electronics;bbk
335#335#фск;федеральная сетевая компания;гк фск
336#336#хевел;группа компаний хевел
338#338#холдинг деметра;деметра-холдинг
339#339#хэдхантер;headhunter;hh
341#341#цппк;оао центральная пригородная пассажирская компания;центральная пригородная пассажирская компания
342#342#черкизово;пао группа черкизово
344#344#чтпз;челябинский трубопрокатный завод
345#345#чэмк;оао челябинский электрометаллургический комбинат;челябинский электрометаллургический комбинат
346#346#эйрбриджкарго;airbridgecargo;abc
347#347#эйч энд эм хеннес энд мауриц;эйч энд эм;h&m;h and m;hm;h & m
348#348#эл5 энерго;эл5-энерго
349#349#эльга уголь;эльгауголь;элси;альберт авдолян
350#350#эталон;группа компаний эталон;гк эталон
351#351#эхо-с;ооо эхо-с;эхо с
352#352#юг руси;гк юг руси;золотая семечка;злато;аведовъ
353#353#ютэйр;пао авиакомпания ютэйр;utair
355#355#яндекс
68#68#x5 retail group;ао торговый дом перекресток;x5 group;перекресток;пятерочка;чижик;впрок;food.ru;много лосося;ооо впрок-сервис;пятёрочка;x5
50#50#pandora rus;panclub;пандора;панклуб;pandora
61#61#selgros;selgros cash & carry;зельгрос
108#108#белуга групп;beluga group;белуга;novabev group;винлаб;новабев групп
112#112#бритиш американ тобакко;british american tobacco;бат
116#116#бэст прайс;ооо бэст прайс;фикс прайс;fix price;fixprice
120#120#верный;сеть магазинов верный;компания верный;союз св. иоанна воина
150#150#данон-юнимилк;ооо данон-индустрия;данон;h&n;health & nutrition;h & n;данон-индустрия
151#151#детский мир;сеть магазинов детский мир;зоозавр
193#193#л''этуаль;лэтуаль;алькор;алькор и ко;подружка;летуаль
228#228#объединенные кондитеры;холдинг объединённые кондитеры;красный октябрь;ротфронт;бабаевский
229#229#о''кей;окей;дискаунтер да!;дискаунтер да
266#266#русджам холдинг;русджам;шишеджам;şişecam
277#277#сбермегамаркет;мегамаркет
291#291#систэм электрик;systeme electric
300#300#спортмастер;сеть магазинов спортмастер;остин;ostin
354#354#яков и партнеры;mckinsey
314#314#тольяттиазот;оао тольяттиазот;дмитрий мазепин;порт тамань;аммиакопровод
315#315#тпс-недвижимость;тпс недвижимость;дмитрий мазепин
337#337#хенкель россия;группа компаний хенкель россия;вернель;персил;lab industries;лаб индастриз;сьесс;сьёсс;шаума;henkel
316#316#трансконтейнер;пао центр по перевозке грузов в контейнерах трансконтейнер;дмитрий мазепин
325#325#уралхим;пао охк уралхим;дмитрий мазепин
356#356#верхнебаканский цементный завод;оао верхнебаканский цементный завод;вбцз
357#357#новоросцемент;оао новоросцемент;газметаллпроект
358#358#цемрос;ао цемрос;евроцемент груп;cemros;смиком;мксм
359#359#гк протек;протек;сотекс;центр внедрения протек;рафарм;аптеки ригла;живика;здравсити;ригла
360#360#хайдельберг;хайдельбергцемент;heidelbergcement;сланцевский цементный завод цесла;хайдельбергцемент рус;норцем кола;гурово-бетон;цемент рус
361#361#holcimlafarge;акционерное общество новая группа;лафарж гео;лафарж нерудные материалы и бетон;холсим (рус) строительные материалы;холсим (рус);лафарж
362#362#независимая нефтегазовая компания;ао ннк-приморнефтепродукт;ннк-хабаровскнефтепродукт;ннк-амурнефтепродукт;ннк
363#363#сургутнефтегаз;пао сургутнефтегаз
364#364#беларуськалий;оао беларуськалий;белорусская калийная компания
365#365#балтика
